1,3
2,4
3,5
4,0
5,2
6,3
7,3
8,0
9,5
10,0
11,2
12,3
13,3
14,5
15,5
16,2
17,0
18,1
19,4
20,3
21,4
22,2
23,1
24,3
25,5
26,5
27,3
28,5
29,6
30,2
31,4
32,4
33,6
34,2
35,3
36,5
37,3
38,0
39,5
40,1
41,4
42,6
43,5
44,0
45,3
46,6
47,4
48,4
49,3
50,0
51,1
52,5
53,3
54,6
55,2
56,4
57,1
58,0
59,1
60,4
61,0
62,0
63,2
64,0
65,5
66,4
67,4
68,5
69,2
70,0
71,1
72,3
73,5
74,1
75,0
76,0
77,2
78,6
79,2
80,3
81,0
82,6
83,0
84,2
85,3
86,2
87,2
88,3
89,0
90,0
91,3
92,2
93,3
94,2
95,6
96,6
97,5
98,5
99,6
100,5
101,1
102,3
103,4
104,6
105,4
106,4
107,0
108,1
109,3
110,4
111,6
112,3
113,5
114,2
115,3
116,2
117,6
118,4
119,4
120,0
121,3
122,3
123,0
124,1
125,2
126,2
127,2
128,0
129,4
130,5
131,2
132,5
133,0
134,1
135,6
136,0
137,3
138,6
139,4
140,5
141,6
142,0
143,4
144,3
145,0
146,4
147,1
148,5
149,6
150,0
151,4
152,1
153,0
154,3
155,6
156,3
157,2
158,4
159,0
160,0
161,2
162,5
163,6
164,2
165,1
166,2
167,4
168,3
169,4
170,0
171,2
172,0
173,2
174,4
175,5
176,3
177,6
178,5
179,0
180,0
181,4
182,5
183,4
184,5
185,0
186,1
187,4
188,1
189,3
190,3
191,5
192,4
193,5
194,2
195,1
196,0
197,3
198,2
199,4
200,4
201,5
202,6
203,5
204,2
205,0
206,0
207,2
208,3
209,6
210,4
211,4
212,2
213,2
214,5
215,0
216,5
217,5
218,2
219,1
220,1
221,1
222,6
223,4
224,4
225,0
226,0
227,6
228,6
229,4
230,3
231,6
232,6
233,0
234,5
235,4
236,4
237,4
238,2
239,1
240,1
241,0
242,4
243,0
244,5
245,4
246,4
247,1
248,6
249,2
250,3
251,2
252,0
253,2
254,2
255,5
256,3
257,5
258,4
259,3
260,4
261,3
262,0
263,6
264,6
265,6
266,0
267,6
268,5
269,5
270,6
271,3
272,0
273,0
274,5
275,0
276,2
277,5
278,0
279,3
280,4
281,5
282,1
283,5
284,2
285,3
286,0
287,6
288,1
289,5
290,0
291,0
292,5
293,4
294,5
295,3
296,6
297,1
298,1
299,5
300,4
301,2
302,0
